"id_uc";"ano";"total_desmat"
43;2017;29523,851000000017
56;2015;19350,778
23;2017;29523,851000000017
40;2015;19350,778
20;2021;44493,15199999993
16;2010;7631,897000000001
15;2015;19350,778
5;2010;7631,897000000001
37;2008;6047,226999999999
33;2011;14891,858999999999
13;2022;52429,266999999985
11;2019;32364,22999999999
40;2017;29523,851000000017
22;2012;6501,219
13;2021;44493,15199999993
21;2008;6047,226999999999
45;2012;6501,219
2;2013;17303,02899999999
28;2018;24077,27100000001
4;2014;15550,979999999978
22;2008;6047,226999999999
42;2020;34286,28700000002
37;2021;44493,15199999993
54;2020;34286,28700000002
27;2009;2715,5170000000016
29;2018;24077,27100000001
28;2016;23661,162
6;2008;6047,226999999999
33;2017;29523,851000000017
19;2014;15550,979999999978
2;2016;23661,162
3;2022;52429,266999999985
35;2015;19350,778
20;2011;14891,858999999999
32;2014;15550,979999999978
15;2013;17303,02899999999
11;2009;2715,5170000000016
10;2011;14891,858999999999
7;2011;14891,858999999999
14;2011;14891,858999999999
32;2020;34286,28700000002
41;2015;19350,778
39;2008;6047,226999999999
23;2022;52429,266999999985
8;2011;14891,858999999999
9;2022;52429,266999999985
2;2010;7631,897000000001
13;2015;19350,778
26;2017;29523,851000000017
1;2014;15550,979999999978
17;2022;52429,266999999985
19;2022;52429,266999999985
45;2009;2715,5170000000016
27;2020;34286,28700000002
54;2021;44493,15199999993
23;2011;14891,858999999999
14;2021;44493,15199999993
8;2022;52429,266999999985
18;2020;34286,28700000002
28;2020;34286,28700000002
42;2013;17303,02899999999
32;2012;6501,219
42;2016;23661,162
39;2018;24077,27100000001
36;2021;44493,15199999993
35;2018;24077,27100000001
24;2015;19350,778
17;2008;6047,226999999999
36;2010;7631,897000000001
42;2014;15550,979999999978
17;2010;7631,897000000001
5;2015;19350,778
14;2008;6047,226999999999
39;2010;7631,897000000001
34;2022;52429,266999999985
16;2013;17303,02899999999
23;2009;2715,5170000000016
7;2018;24077,27100000001
56;2010;7631,897000000001
24;2018;24077,27100000001
7;2009;2715,5170000000016
12;2018;24077,27100000001
36;2019;32364,22999999999
33;2010;7631,897000000001
25;2019;32364,22999999999
16;2016;23661,162
57;2021;44493,15199999993
38;2015;19350,778
27;2015;19350,778
23;2016;23661,162
25;2017;29523,851000000017
6;2021;44493,15199999993
15;2008;6047,226999999999
54;2012;6501,219
55;2012;6501,219
